source_id,stage,component,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,jpeg_q75,fbcnn_dpir,2,0.0009556531440466642,0.12167562544345856,5.5257238273043185e-05,9.520699677523226e-05
0801,jpeg_q75,fbcnn_dpir,3,0.0023834437597543,0.07704620808362961,2.872526238206774e-05,4.4997163058724254e-05
0801,jpeg_q75,fbcnn_dpir,4,0.005944420117884874,0.04878642410039902,1.426811832061503e-05,2.0784824300790206e-05
0801,jpeg_q75,fbcnn_dpir,5,0.014825660735368729,0.03089204803109169,6.8678491516038775e-06,9.980614777305163e-06
0801,jpeg_q75,fbcnn_dpir,6,0.03697589039802551,0.019561151042580605,3.399110710233799e-06,4.981162419426255e-06
0801,jpeg_q75,fbcnn_dpir,7,0.09221960604190826,0.012386314570903778,1.6149077737281914e-06,2.8565971206262475e-06
0801,jpeg_q75,fbcnn_dpir,8,0.22999997437000275,0.007843137718737125,5.819621264890884e-07,2.0097413653275e-06
0801,jpeg_q75,fbcnn_dpir_sigma08,1,0.0003831736685242504,0.1921568661928177,0.00020793858857359737,0.00020732525445055217
0801,jpeg_q75,fbcnn_dpir_sigma08,2,0.0009556531440466642,0.12167562544345856,4.991168680135161e-05,0.0001022796641336754
0801,jpeg_q75,fbcnn_dpir_sigma08,3,0.0023834437597543,0.07704620808362961,2.632558243931271e-05,4.912531585432589e-05
0801,jpeg_q75,fbcnn_dpir_sigma08,4,0.005944420117884874,0.04878642410039902,1.3160029993741773e-05,2.3035383492242545e-05
0801,jpeg_q75,fbcnn_dpir_sigma08,5,0.014825660735368729,0.03089204803109169,6.338722414511722e-06,1.1150816135341302e-05
0801,jpeg_q75,fbcnn_dpir_sigma08,6,0.03697589039802551,0.019561151042580605,3.098399929513107e-06,5.542504823097261e-06
0801,jpeg_q75,fbcnn_dpir_sigma08,7,0.09221960604190826,0.012386314570903778,1.5682244338677265e-06,3.005429107361124e-06
0801,jpeg_q75,fbcnn_dpir_sigma08,8,0.22999997437000275,0.007843137718737125,6.014372502249898e-07,1.933523435582174e-06
0801,jpeg_q75,fbcnn_dpir_sigma12,1,0.0003831736685242504,0.1921568661928177,0.00022063907817937434,0.00018420281412545592
0801,jpeg_q75,fbcnn_dpir_sigma12,2,0.0009556531440466642,0.12167562544345856,6.0277656302787364e-05,8.738760516280308e-05
0801,jpeg_q75,fbcnn_dpir_sigma12,3,0.0023834437597543,0.07704620808362961,3.097137960139662e-05,4.053453812957741e-05
0801,jpeg_q75,fbcnn_dpir_sigma12,4,0.005944420117884874,0.04878642410039902,1.574575071572326e-05,1.8411947166896425e-05
0801,jpeg_q75,fbcnn_dpir_sigma12,5,0.014825660735368729,0.03089204803109169,7.658359209017362e-06,8.730719855520874e-06
0801,jpeg_q75,fbcnn_dpir_sigma12,6,0.03697589039802551,0.019561151042580605,3.600809122872306e-06,4.489285856834613e-06
0801,jpeg_q75,fbcnn_dpir_sigma12,7,0.09221960604190826,0.012386314570903778,1.5532403949691798e-06,2.824766397679923e-06
0801,jpeg_q75,fbcnn_dpir_sigma12,8,0.22999997437000275,0.007843137718737125,5.534944875762449e-07,2.187045311075053e-06
0801,jpeg_q75,fbcnn_dpir_rot90,1,0.0003831736685242504,0.1921568661928177,0.0002519252593629062,0.00019833432452287525
0801,jpeg_q75,fbcnn_dpir_rot90,2,0.0009556531440466642,0.12167562544345856,5.85330453759525e-05,9.660160139901564e-05
0801,jpeg_q75,fbcnn_dpir_rot90,3,0.0023834437597543,0.07704620808362961,2.9526749131036922e-05,4.597908628056757e-05
0801,jpeg_q75,fbcnn_dpir_rot90,4,0.005944420117884874,0.04878642410039902,1.4543513316311873e-05,2.170346851926297e-05
0801,jpeg_q75,fbcnn_dpir_rot90,5,0.014825660735368729,0.03089204803109169,7.33125489205122e-06,1.0446801752550527e-05
0801,jpeg_q75,fbcnn_dpir_rot90,6,0.03697589039802551,0.019561151042580605,3.643455556812114e-06,5.346555099094985e-06
