stage,pipeline,region,score,coverage,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
quantized_8bit,dpir_nominal,all,operator_spread_detail,0.75,0.00035085966993502805,0.00016482084921346743,0.0634765625,0.0003255208333333333,0.0
quantized_8bit,dpir_nominal,all,operator_spread_detail,0.9,0.0005151578031733877,0.00024066845701393714,0.0989696312364425,0.004609544468546637,0.0
quantized_8bit,dpir_nominal,all,operator_spread_detail,1.0,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,operator_spread_rgb,0.5,0.00020336495091470672,0.00010191200566048416,0.01513671875,0.0,0.0
quantized_8bit,dpir_nominal,all,operator_spread_rgb,0.75,0.00036602763026010176,0.0001765132517492802,0.064453125,0.0009765625,0.0
quantized_8bit,dpir_nominal,all,operator_spread_rgb,0.9,0.0005252179984755953,0.0002475237470065383,0.10303687635574837,0.0056941431670282,0.0
quantized_8bit,dpir_nominal,all,operator_spread_rgb,1.0,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,oracle_detail_error,0.5,0.00017935183723571808,8.044172417835857e-05,0.0,0.0,0.0
quantized_8bit,dpir_nominal,all,oracle_detail_error,0.75,0.00034313345160260256,0.00015051977674145284,0.06282552083333333,0.0,0.0
quantized_8bit,dpir_nominal,all,oracle_detail_error,0.9,0.0005091416146651288,0.00022896225783642727,0.09408893709327548,0.0,0.0
quantized_8bit,dpir_nominal,all,oracle_detail_error,1.0,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,random_expected,0.5,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,random_expected,0.75,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,random_expected,0.9,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,random_expected,1.0,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,textured_quartile,image_gradient,0.5,0.0015863961669412537,0.000775463299367467,0.34375,0.056640625,0.0
quantized_8bit,dpir_nominal,textured_quartile,image_gradient,0.75,0.0016711899546643753,0.000788200216341386,0.36848958333333337,0.059895833333333336,0.0
quantized_8bit,dpir_nominal,textured_quartile,image_gradient,0.9,0.0017767327622169743,0.0008153162332187144,0.3939393939393939,0.06277056277056277,0.0
quantized_8bit,dpir_nominal,textured_quartile,image_gradient,1.0,0.0018792368042874397,0.0008461550562624815,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,image_transform_spread_detail,0.5,0.0013479377632021417,0.0006174752733801457,0.302734375,0.01953125,0.0
quantized_8bit,dpir_nominal,textured_quartile,image_transform_spread_detail,0.75,0.001515621251031496,0.0006936948389396141,0.33854166666666663,0.033854166666666664,0.0
quantized_8bit,dpir_nominal,textured_quartile,image_transform_spread_detail,0.9,0.0016994808404670369,0.0007739610382326657,0.38203463203463206,0.05411255411255411,0.0
quantized_8bit,dpir_nominal,textured_quartile,image_transform_spread_detail,1.0,0.0018792368042874394,0.0008461550562624816,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,measurement_residual,0.5,0.0019469050106103577,0.0008781670695506519,0.423828125,0.091796875,0.0
quantized_8bit,dpir_nominal,textured_quartile,measurement_residual,0.75,0.0018932607841714575,0.0008554305809157428,0.41666666666666663,0.078125,0.0
quantized_8bit,dpir_nominal,textured_quartile,measurement_residual,0.9,0.0018814475566767091,0.0008458506461088109,0.4145021645021645,0.07359307359307359,0.0
quantized_8bit,dpir_nominal,textured_quartile,measurement_residual,1.0,0.0018792368042874394,0.0008461550562624816,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,operator_spread_detail,0.5,0.0012313708171086306,0.0005793253643996972,0.263671875,0.03125,0.0
quantized_8bit,dpir_nominal,textured_quartile,operator_spread_detail,0.75,0.001458197067077144,0.000678984239327064,0.3125,0.037760416666666664,0.0
quantized_8bit,dpir_nominal,textured_quartile,operator_spread_detail,0.9,0.0016475278070661585,0.0007535585453987076,0.3712121212121212,0.049783549783549784,0.0
quantized_8bit,dpir_nominal,textured_quartile,operator_spread_detail,1.0,0.0018792368042874394,0.0008461550562624816,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,operator_spread_rgb,0.5,0.0012985222733461026,0.0006295565834010735,0.27734375,0.03515625,0.0
quantized_8bit,dpir_nominal,textured_quartile,operator_spread_rgb,0.75,0.001478243558151033,0.0006913001016449257,0.3372395833333333,0.03515625,0.0
quantized_8bit,dpir_nominal,textured_quartile,operator_spread_rgb,0.9,0.0016748892699573691,0.0007739272525352303,0.38095238095238093,0.05411255411255411,0.0
quantized_8bit,dpir_nominal,textured_quartile,operator_spread_rgb,1.0,0.0018792368042874397,0.0008461550562624815,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,oracle_detail_error,0.5,0.0011589171180471992,0.0004821506601742446,0.2421875,0.0,0.0
quantized_8bit,dpir_nominal,textured_quartile,oracle_detail_error,0.75,0.0014275375011672483,0.0006205573165889482,0.25260416666666663,0.0078125,0.0
quantized_8bit,dpir_nominal,textured_quartile,oracle_detail_error,0.9,0.0016395150962586493,0.0007267086011065766,0.3528138528138528,0.048701298701298704,0.0
quantized_8bit,dpir_nominal,textured_quartile,oracle_detail_error,1.0,0.0018792368042874397,0.0008461550562624816,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,random_expected,0.5,0.0018792368042874394,0.0008461550562624816,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,random_expected,0.75,0.0018792368042874394,0.0008461550562624816,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,random_expected,0.9,0.0018792368042874394,0.0008461550562624816,0.416015625,0.0703125,0.0
quantized_8bit,dpir_nominal,textured_quartile,random_expected,1.0,0.0018792368042874394,0.0008461550562624816,0.416015625,0.0703125,0.0
quantized_8bit,fbcnn_dpir,all,image_gradient,0.5,0.00027672757051293794,0.00013859922592436124,0.0341796875,0.001953125,0.0
quantized_8bit,fbcnn_dpir,all,image_gradient,0.75,0.0004611926745020118,0.0002241310112187034,0.083984375,0.0068359375,0.0
quantized_8bit,fbcnn_dpir,all,image_gradient,0.9,0.0005873276403613587,0.0002748308428665448,0.11469631236442517,0.009761388286334056,0.0
quantized_8bit,fbcnn_dpir,all,image_gradient,1.0,0.0007531134493998979,0.0003400608737261497,0.15380859375,0.017333984375,0.0
quantized_8bit,fbcnn_dpir,all,image_transform_spread_detail,0.5,0.00024093774576244202,0.0001135360259059315,0.02294921875,0.0,0.0
quantized_8bit,fbcnn_dpir,all,image_transform_spread_detail,0.75,0.0004133946609276408,0.00019105525947722495,0.07486979166666667,0.0013020833333333333,0.0
quantized_8bit,fbcnn_dpir,all,image_transform_spread_detail,0.9,0.0005742160485915143,0.0002626404720637673,0.11198481561822127,0.0056941431670282,0.0
quantized_8bit,fbcnn_dpir,all,image_transform_spread_detail,1.0,0.0007531134493998979,0.0003400608737261497,0.15380859375,0.017333984375,0.0
quantized_8bit,fbcnn_dpir,all,measurement_residual,0.5,0.0005857466042243778,0.0002721390194898065,0.12109375,0.0126953125,0.0
quantized_8bit,fbcnn_dpir,all,measurement_residual,0.75,0.000625727447393717,0.0002872076411742041,0.1298828125,0.013020833333333334,0.0
quantized_8bit,fbcnn_dpir,all,measurement_residual,0.9,0.0006821683642745485,0.00031114198629555333,0.13855748373101953,0.014913232104121476,0.0
quantized_8bit,fbcnn_dpir,all,measurement_residual,1.0,0.0007531134493998979,0.0003400608737261497,0.15380859375,0.017333984375,0.0
quantized_8bit,fbcnn_dpir,all,operator_spread_detail,0.5,0.00020195182239725922,9.592050144090967e-05,0.01123046875,0.0,0.0
quantized_8bit,fbcnn_dpir,all,operator_spread_detail,0.75,0.00036738220411936613,0.00016981766670147875,0.0654296875,0.0003255208333333333,0.0
quantized_8bit,fbcnn_dpir,all,operator_spread_detail,0.9,0.0005343128803403561,0.0002463143254536999,0.10330802603036876,0.004609544468546637,0.0
quantized_8bit,fbcnn_dpir,all,operator_spread_detail,1.0,0.0007531134493998979,0.0003400608737261497,0.15380859375,0.017333984375,0.0
quantized_8bit,fbcnn_dpir,all,operator_spread_rgb,0.5,0.00021701117884562443,0.0001058547158405859,0.0166015625,0.0,0.0
quantized_8bit,fbcnn_dpir,all,operator_spread_rgb,0.75,0.0003804674382253717,0.000179833385815793,0.06640625,0.0009765625,0.0
quantized_8bit,fbcnn_dpir,all,operator_spread_rgb,0.9,0.0005405144606507393,0.00025102877101484874,0.10466377440347072,0.005151843817787419,0.0
quantized_8bit,fbcnn_dpir,all,operator_spread_rgb,1.0,0.0007531134493998979,0.0003400608737261497,0.15380859375,0.017333984375,0.0
quantized_8bit,fbcnn_dpir,all,oracle_detail_error,0.5,0.00018595090203713893,8.108242754109081e-05,0.0,0.0,0.0
quantized_8bit,fbcnn_dpir,all,oracle_detail_error,0.75,0.0003509146471703115,0.0001515632168972333,0.064453125,0.0,0.0
quantized_8bit,fbcnn_dpir,all,oracle_detail_error,0.9,0.0005194915403350377,0.00023059964828606194,0.09544468546637744,0.0,0.0
