source_id,stage,stage_index,model,mse,psnr_db,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
0801,jpeg_q75,3,observed,0.0005401965469698654,32.6744819622544,0.0001663694330681154,0.064453125,0.0009765625,0.0
0801,jpeg_q75,3,gradient_nominal,0.00043308017122318994,33.634317001895525,0.0001552780874919902,0.056640625,0.0009765625,0.0
0801,jpeg_q75,3,drunet_denoise_only,0.0005274911576935355,32.77784816024755,0.00015781596834698407,0.0634765625,0.0009765625,0.0
0801,jpeg_q75,3,dpir_nominal,0.0005587137730104786,32.52810622592363,0.0003010349699212224,0.0908203125,0.0263671875,0.0009765625
0801,jpeg_q75,3,dpir_oracle_blur,0.0005141579765485012,32.88903422245683,0.0002427822184917154,0.1005859375,0.0078125,0.0
0802,linear_float,0,observed,0.0006792701082287692,31.679574964308145,0.00027798071059088024,0.109375,0.0009765625,0.0
0802,linear_float,0,gradient_nominal,0.000528596443465465,32.768757632408565,0.00022984576488111876,0.0771484375,0.0009765625,0.0
0802,linear_float,0,drunet_denoise_only,0.000645937856728105,31.89809261847424,0.00023814319501344776,0.09765625,0.0009765625,0.0
0802,linear_float,0,dpir_nominal,0.00048326207462365197,33.15817286027995,0.00021422436772709782,0.068359375,0.0009765625,0.0
0802,linear_float,0,dpir_oracle_blur,0.0002746872455582133,35.611615055313315,0.00016721871230399913,0.0361328125,0.0,0.0
0802,clipped_float,1,observed,0.0006792701082287692,31.679574964308145,0.00027798071059088024,0.109375,0.0009765625,0.0
0802,clipped_float,1,gradient_nominal,0.0005284602923092098,32.769876393477716,0.00022978685328514642,0.0771484375,0.0009765625,0.0
0802,clipped_float,1,drunet_denoise_only,0.0006459447194641692,31.898046477308498,0.0002381431948688755,0.09765625,0.0009765625,0.0
0802,clipped_float,1,dpir_nominal,0.0004832764984393892,33.15804323930553,0.0002142252996287697,0.068359375,0.0009765625,0.0
