source_id,stage,stage_index,model,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0802,linear_float,0,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,0.00010593541082926095,0.00016069102275650948
0802,linear_float,0,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,7.857219316065311e-05,0.00010453166032675654
0802,linear_float,0,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,3.933668995159678e-05,7.861349877202883e-05
0802,linear_float,0,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.6389762095059268e-05,6.718792428728193e-05
0802,linear_float,0,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,6.859901077405084e-06,6.200292409630492e-05
0802,linear_float,0,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,3.1231354569172254e-06,5.9637106460286304e-05
0802,linear_float,0,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,1.317687974733417e-06,5.863741898792796e-05
0802,clipped_float,1,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.0003079791204072535,0.0002956374373752624
0802,clipped_float,1,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.23561320733279e-05,0.0001979078951990232
0802,clipped_float,1,dpir_nominal,3,0.0023834437597543,0.07704620808362961,3.824388113571331e-05,0.00013200636021792889
0802,clipped_float,1,dpir_nominal,4,0.005944420117884874,0.04878642410039902,2.4419929104624316e-05,9.271527960663661e-05
0802,clipped_float,1,dpir_nominal,5,0.014825660735368729,0.03089204803109169,1.3602680155599955e-05,7.297786942217499e-05
0802,clipped_float,1,dpir_nominal,6,0.03697589039802551,0.019561151042580605,6.60258319840068e-06,6.337928061839193e-05
0802,clipped_float,1,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.149739541186136e-06,5.861119643668644e-05
0802,clipped_float,1,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.2962644859726424e-06,5.6378172303084284e-05
0802,clipped_float,1,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.00041798065649345517,0.00025554088642820716
0802,clipped_float,1,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,0.00010595531784929335,0.00016032237908802927
0802,clipped_float,1,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,7.857323362259194e-05,0.00010417200974188745
0802,clipped_float,1,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,3.934169581043534e-05,7.826163346180692e-05
0802,clipped_float,1,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.6388548829127103e-05,6.68438442517072e-05
0802,clipped_float,1,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,6.8576778176066e-06,6.166686216602102e-05
0802,clipped_float,1,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,3.120514975307742e-06,5.930761471972801e-05
0802,clipped_float,1,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,1.3168713621780626e-06,5.831113230669871e-05
0802,quantized_8bit,2,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00030911259818822145,0.00029679611907340586
0802,quantized_8bit,2,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.2341278205858544e-05,0.00019909789261873811
0802,quantized_8bit,2,dpir_nominal,3,0.0023834437597543,0.07704620808362961,3.8236805266933516e-05,0.00013320766447577626
0802,quantized_8bit,2,dpir_nominal,4,0.005944420117884874,0.04878642410039902,2.442822551529389e-05,9.391810453962535e-05
0802,quantized_8bit,2,dpir_nominal,5,0.014825660735368729,0.03089204803109169,1.3621613106806763e-05,7.415386062348261e-05
0802,quantized_8bit,2,dpir_nominal,6,0.03697589039802551,0.019561151042580605,6.617147846554872e-06,6.452580419136211e-05
0802,quantized_8bit,2,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.156589400532539e-06,5.972994404146448e-05
0802,quantized_8bit,2,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.300383587476972e-06,5.748230978497304e-05
0802,quantized_8bit,2,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.00041911870357580483,0.00025672270567156374
0802,quantized_8bit,2,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,0.00010593201295705512,0.00016148666327353567
0802,quantized_8bit,2,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,7.866035593906417e-05,0.00010537081834627315
0802,quantized_8bit,2,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,3.9429163734894246e-05,7.944388198666275e-05
0802,quantized_8bit,2,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.639971014810726e-05,6.801721610827371e-05
0802,quantized_8bit,2,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,6.884052254463313e-06,6.282847607508302e-05
0802,quantized_8bit,2,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,3.130136519757798e-06,6.0460610256996006e-05
0802,quantized_8bit,2,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,1.3192407095630188e-06,5.9463291108841076e-05
0802,jpeg_q75,3,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00034436234273016453,0.000284351350273937
0802,jpeg_q75,3,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,7.70904662203975e-05,0.00018448509217705578
0802,jpeg_q75,3,dpir_nominal,3,0.0023834437597543,0.07704620808362961,4.8284306103596464e-05,0.00011663141776807606
0802,jpeg_q75,3,dpir_nominal,4,0.005944420117884874,0.04878642410039902,3.217190533177927e-05,7.356308924499899e-05
0802,jpeg_q75,3,dpir_nominal,5,0.014825660735368729,0.03089204803109169,2.1321637177607045e-05,4.755805275635794e-05
0802,jpeg_q75,3,dpir_nominal,6,0.03697589039802551,0.019561151042580605,1.3832770491717383e-05,3.14585049636662e-05
0802,jpeg_q75,3,dpir_nominal,7,0.09221960604190826,0.012386314570903778,6.220362593012396e-06,2.396482159383595e-05
0802,jpeg_q75,3,dpir_nominal,8,0.22999997437000275,0.007843137718737125,2.0803913685085718e-06,2.1258545530145057e-05
0802,jpeg_q75,3,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0004679323174059391,0.00024115740961860865
0802,jpeg_q75,3,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,0.0001448412804165855,0.00014616288535762578
0802,jpeg_q75,3,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,0.00010711257345974445,8.718705794308335e-05
0802,jpeg_q75,3,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,5.946117016719654e-05,5.5794738727854565e-05
0802,jpeg_q75,3,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,2.904772736656014e-05,3.924005795852281e-05
0802,jpeg_q75,3,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,1.1932920642721001e-05,3.17379308398813e-05
0802,jpeg_q75,3,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,4.643834927264834e-06,2.8765698516508564e-05
0802,jpeg_q75,3,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,1.8515663668949855e-06,2.770484752545599e-05
0803,linear_float,0,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00026593150687403977,0.00022888893727213144
0803,linear_float,0,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.0251084758201614e-05,0.00015208507829811424
0803,linear_float,0,dpir_nominal,3,0.0023834437597543,0.07704620808362961,2.931228300440125e-05,0.00011076422379119322
0803,linear_float,0,dpir_nominal,4,0.005944420117884874,0.04878642410039902,1.5910631191218272e-05,8.83501343196258e-05
0803,linear_float,0,dpir_nominal,5,0.014825660735368729,0.03089204803109169,8.826618795865215e-06,7.477717008441687e-05
0803,linear_float,0,dpir_nominal,6,0.03697589039802551,0.019561151042580605,5.6092944760166574e-06,6.582724017789587e-05
0803,linear_float,0,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.638034741015872e-06,5.9966041590087116e-05
0803,linear_float,0,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.484184622313478e-06,5.7209847000194713e-05
0803,linear_float,0,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0006635491736233234,0.00019824336050078273
0803,linear_float,0,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,6.805503653595224e-05,0.00013350708468351513
0803,linear_float,0,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,3.690564335556701e-05,0.00010036095773102716
0803,linear_float,0,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,1.9317301848786883e-05,8.206813072320074e-05
0803,linear_float,0,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.1412245839892421e-05,7.065371755743399e-05
0803,linear_float,0,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,7.342589015024714e-06,6.372844654833898e-05
0803,linear_float,0,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,3.699368789966684e-06,6.0359263443388045e-05
0803,linear_float,0,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,1.4199897577782394e-06,5.904478166485205e-05
0803,clipped_float,1,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00026573147624731064,0.0002286764356540516
0803,clipped_float,1,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.025710561312735e-05,0.00015187676763162017
